timestamp	run_id	benchmark_version	corpus_version	rubric_version	scoring_version	judge_version	profile	bench	candidate_name	candidate_sha256	hypothesis	chapter_model	composer_model	judge_model	mean_quality	mean_utility	mean_faithfulness	mean_concept_coverage	mean_final_length_error_pct	mean_first_pass_length_error_pct	mean_passes_used	mean_uncached_generation_cost	mean_generation_cost	hard_fail_rate	worst_genre_macro	worst_genre_macro_utility	worst_genre_macro_quality	genre_macro_spread_utility	n_genre_macros	run_artifact	catalog_snapshot	price_snapshot	notes
2026-04-20T04:58:22.627682+00:00	20260420t045822z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.843546	0.803546	0.886027	0.825000	0.124754	0.124754	5.000000	0.000000	0.000000	1.000000	business_economics_productivity	0.803546	0.843546	0.000000	1	runs/booksum-v2/20260420t045822z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json			
2026-04-20T04:58:22.768194+00:00	20260420t045822z__booksum-v2__book_gate__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	book_gate	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.871116	0.871116	0.842894	0.793974	0.010667	0.010667	1.000000	0.000000	0.000000	0.000000	explanatory_science_technology_environment	0.871116	0.871116	0.000000	1	runs/booksum-v2/20260420t045822z__booksum-v2__book_gate__30m__baseline_30m_dense_recall_then_compose_v1.json			
2026-04-20T10:20:26.261081+00:00	20260420t102026z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.722542	0.692542	0.803958	0.803125	0.236304	0.236304	4.000000	0.000000	0.000000	1.000000	business_economics_productivity	0.692542	0.722542	0.000000	1	runs/booksum-v2/20260420t102026z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json			
2026-04-20T10:20:27.340235+00:00	20260420t102027z__booksum-v2__book_gate__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	book_gate	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.567987	0.567987	0.392500	0.504167	0.005333	0.005333	1.000000	0.000000	0.000000	1.000000	psychology_health_self_development	0.567987	0.567987	0.000000	1	runs/booksum-v2/20260420t102027z__booksum-v2__book_gate__30m__baseline_30m_dense_recall_then_compose_v1.json			
2026-04-20T10:50:05.355268+00:00	20260420t105005z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.365033	0.324978	0.490000	0.150000	0.375000	0.458333	5.000000	0.002767	0.002767	1.000000	science_technology_environment	0.324978	0.365033	0.000000	1	runs/booksum-v2/20260420t105005z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json	snapshots/catalog/20260420T105005Z__booksum-v2.json	snapshots/pricing/20260420T105005Z__booksum-v2.json	
2026-04-20T11:33:12.424098+00:00	20260420t113312z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.463500	0.423374	0.473636	0.170833	0.208377	0.240409	5.000000	0.006315	0.006315	1.000000	science_technology_environment	0.423374	0.463500	0.000000	1	runs/booksum-v2/20260420t113312z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json	snapshots/catalog/20260420T113312Z__booksum-v2.json	snapshots/pricing/20260420T113312Z__booksum-v2.json	
2026-04-20T11:40:22.078093+00:00	20260420t114022z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	6d49d26718620b388af5f2602e239d027a0373704d369dce02992e5aded6cb45		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.486506	0.455137	0.433134	0.168542	0.132436	0.303317	4.125000	0.005995	0.005995	1.000000	psychology_health_self_development	0.444366	0.479511	0.021541	2	runs/booksum-v2/20260420t114022z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json	snapshots/catalog/20260420T114022Z__booksum-v2.json	snapshots/pricing/20260420T114022Z__booksum-v2.json	
2026-04-20T19:00:22.647043+00:00	20260420t190022z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	0242b638e403448affdd2331c2972b18c00eaa5639fe2b6fbdeddc0a135bfb87		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.490888	0.458277	0.468381	0.184167	0.275901	0.286109	4.250000	0.005547	0.005547	1.000000	science_technology_environment	0.441582	0.476699	0.033390	2	runs/booksum-v2/20260420t190022z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json	snapshots/catalog/20260420T190022Z__booksum-v2.json	snapshots/pricing/20260420T190022Z__booksum-v2.json	
2026-04-20T19:16:02.104322+00:00	20260420t191602z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	5f24f3d3d2f9ddf056bffedc69ae249609d8806d5c63908fe780840924f54b8f		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.508648	0.468505	0.426259	0.166667	0.063407	0.425139	5.000000	0.007145	0.007145	1.000000	science_technology_environment	0.441025	0.491160	0.054961	2	runs/booksum-v2/20260420t191602z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json	snapshots/catalog/20260420T191602Z__booksum-v2.json	snapshots/pricing/20260420T191602Z__booksum-v2.json	
2026-04-20T19:26:58.163240+00:00	20260420t192658z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1	booksum-v2	corpus-2026-04-19	rubrics-v1	scoring-v1	judge-absolute-v1::deterministic	30m	chapter_fast	baseline_30m_dense_recall_then_compose_v1	061e28383a92586da7b68120e31de6f7c901d813880aeccd49d36e62ad2f8218		deepseek/deepseek-v3.2	openai/gpt-5-mini		0.510460	0.486619	0.438017	0.177083	0.063010	0.500699	3.375000	0.004533	0.004533	1.000000	psychology_health_self_development	0.472572	0.502665	0.028094	2	runs/booksum-v2/20260420t192658z__booksum-v2__chapter_fast__30m__baseline_30m_dense_recall_then_compose_v1.json	snapshots/catalog/20260420T192658Z__booksum-v2.json	snapshots/pricing/20260420T192658Z__booksum-v2.json	
